name,price,first_name,last_name,above_100
william garcia,258.1809089,William,Garcia,true
barbara freeman,141.890534,Barbara,Freeman,true
rebecca zimmerman,293.373272,Rebecca,Zimmerman,true
patricia velasquez,249.9479246,Patricia,Velasquez,true
ronnie clark,272.908659,Ronnie,Clark,true
timothy rose,65.74326968,Timothy,Rose,
joshua ramirez,64.54997394,Joshua,Ramirez,
joseph dawson,111.0171384,Joseph,Dawson,true
robert rios,87.31797988,Robert,Rios,
karen mitchell,277.2511543,Karen,Mitchell,true
patrick greene,7.259436115,Patrick,Greene,
matthew nelson,295.3146887,Matthew,Nelson,true
melissa smith,70.04282129,Melissa,Smith,
amy johnson,78.26892103,Amy,Johnson,
edgar ellis,208.6777041,Edgar,Ellis,true
olivia rivera,104.8094951,Olivia,Rivera,true
kelly leblanc,40.20849552,Kelly,Leblanc,
jennifer anderson,17.90633335,Jennifer,Anderson,
tammy clark,125.0672217,Tammy,Clark,true
jennifer marquez,21.63604687,Jennifer,Marquez,
cory silva,36.24541189,Cory,Silva,
mackenzie moon,264.9268902,Mackenzie,Moon,true
larry wade,126.3049676,Larry,Wade,true
diana shaffer,37.50406255,Diana,Shaffer,
stephen smith,168.1895294,Stephen,Smith,true
kendra white,265.1085587,Kendra,White,true
lindsey williamson,280.3953974,Lindsey,Williamson,true
wanda hale,106.0997985,Wanda,Hale,true
jillian davies,10.64366962,Jillian,Davies,
douglas thomas,119.0382607,Douglas,Thomas,true
jennifer davis,153.0526538,Jennifer,Davis,true
george holmes,44.38614111,George,Holmes,
marissa webster,105.4378241,Marissa,Webster,true
anna boyle,80.47552199,Anna,Boyle,
paul gillespie,174.6815735,Paul,Gillespie,true
autumn johnston,132.780344,Autumn,Johnston,true
tracey norton,118.0225331,Tracey,Norton,true
amy flynn,128.6739798,Amy,Flynn,true
melissa davis,72.58977535,Melissa,Davis,
vincent mitchell,78.43990466,Vincent,Mitchell,
gregory martin,144.6915752,Gregory,Martin,true
robert coffey,117.3205633,Robert,Coffey,true
melissa montgomery,101.4845534,Melissa,Montgomery,true
krystal cunningham,296.536062,Krystal,Cunningham,true
scott lee,163.4878508,Scott,Lee,true
james murray,28.59025756,James,Murray,
hunter stokes,3.582742282,Hunter,Stokes,
jasmine austin,33.90382995,Jasmine,Austin,
grant summers,51.78034157,Grant,Summers,
sarah spencer,271.6023676,Sarah,Spencer,true
brianna lewis,192.617676,Brianna,Lewis,true
rhonda martin,145.6455553,Rhonda,Martin,true
dennis lawrence,161.3584294,Dennis,Lawrence,true
michael stewart,245.4400987,Michael,Stewart,true
william wilkins,22.90555849,William,Wilkins,
rebecca jimenez,142.590737,Rebecca,Jimenez,true
kathleen roman,15.10135967,Kathleen,Roman,
billy smith,22.53181535,Billy,Smith,
nicole james,101.913846,Nicole,James,true
allison holt,12.7990102,Allison,Holt,
amanda johnson,19.17461281,Amanda,Johnson,
michael spencer,171.890946,Michael,Spencer,true
brandi king,30.05366744,Brandi,King,
alexander king,23.47063099,Alexander,King,
nicole sampson,207.6385148,Nicole,Sampson,true
savannah bell,22.05563858,Savannah,Bell,
jessica harris,103.7031099,Jessica,Harris,true
lauren gallagher,266.215602,Lauren,Gallagher,true
jack townsend,93.27791862,Jack,Townsend,
jamie nguyen,228.9953328,Jamie,Nguyen,true
ann price,266.323001,Ann,Price,true
michael rodriguez,224.0452951,Michael,Rodriguez,true
heather davidson,219.8337855,Heather,Davidson,true
marie green,146.6406753,Marie,Green,true
lori tapia,147.3422789,Lori,Tapia,true
kayla alvarado,127.2410425,Kayla,Alvarado,true
susan crosby,200.3652912,Susan,Crosby,true
nathan harris,163.8731027,Nathan,Harris,true
michael daniel,4.582288435,Michael,Daniel,
ashley jones,53.14943439,Ashley,Jones,
john wright,91.35592502,John,Wright,
melissa jordan,294.2154133,Melissa,Jordan,true
carrie jackson,232.6768105,Carrie,Jackson,true
rebecca anderson,183.1702424,Rebecca,Anderson,true
paul powell,105.1162169,Paul,Powell,true
shawn baxter,81.03527984,Shawn,Baxter,
sarah wright,141.0101793,Sarah,Wright,true
kimberly romero,235.624084,Kimberly,Romero,true
matthew washington,186.5044837,Matthew,Washington,true
kirk hayden,148.2501795,Kirk,Hayden,true
traci kelley,41.56298339,Traci,Kelley,
isabella chen,129.6921072,Isabella,Chen,true
melanie salazar,292.8461055,Melanie,Salazar,true
stephanie lewis,76.43122945,Stephanie,Lewis,
christopher hensley,249.1556558,Christopher,Hensley,true
terry vincent,242.9859001,Terry,Vincent,true
jason alvarado,95.92027624,Jason,Alvarado,
michelle evans,257.2373034,Michelle,Evans,true
dennis benitez,87.11980487,Dennis,Benitez,
troy garcia,181.4054634,Troy,Garcia,true
albert davila,113.2109822,Albert,Davila,true
candice rivera,42.88132073,Candice,Rivera,
cole edwards,244.0779245,Cole,Edwards,true
danielle johnson,31.63041433,Danielle,Johnson,
justin ramirez,146.3464935,Justin,Ramirez,true
elizabeth griffith,205.7783782,Elizabeth,Griffith,true
kristin clay,260.3474682,Kristin,Clay,true
joseph white,65.20753493,Joseph,White,
marissa holmes,59.40240228,Marissa,Holmes,
michelle hamilton,91.62237167,Michelle,Hamilton,
christopher alvarez,126.025264,Christopher,Alvarez,true
craig hogan,136.7126938,Craig,Hogan,true
melissa castillo,281.1608076,Melissa,Castillo,true
maria williams,10.21292614,Maria,Williams,
vanessa thomas,20.58084145,Vanessa,Thomas,
gary obrien,53.39582051,Gary,Obrien,
